,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,net_capital
0,39,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,2174
1,50,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,13,US,0,0
2,38,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
3,53,Private,Some High School,7,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
4,28,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Female,40,Other,0,0
5,37,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Female,40,US,0,0
6,49,Private,Some High School,5,Married,Service,Not family,Other,Female,16,Other,0,0
7,52,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,1,0
8,31,Private,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,50,US,1,14084
9,42,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,5178
10,37,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Male,80,US,1,0
11,30,Government,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,40,Other,1,0
15,34,Private,No formal education,4,Married,Blue Collar,Spouse,Other,Male,45,Other,0,0
18,38,Private,Some High School,7,Married,White Collar,Spouse,White,Male,50,US,0,0
19,43,Self-employed,Advanced Degree,14,Previously Married,White Collar,Not family,White,Female,45,US,1,0
20,40,Private,Advanced Degree,16,Married,White Collar,Spouse,White,Male,60,US,1,0
21,54,Private,High School Graduate,9,Previously Married,Service,Not family,Other,Female,20,US,0,0
22,35,Government,Some High School,5,Married,Blue Collar,Spouse,Other,Male,40,US,0,0
23,43,Private,Some High School,7,Married,Blue Collar,Spouse,White,Male,40,US,0,-2042
24,59,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
25,56,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
27,54,Unknown,Collage/Associate Degree,10,Married,Unknown,Spouse,Other,Male,60,Other,1,0
28,39,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Male,80,US,0,0
29,49,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
34,22,Government,Collage/Associate Degree,10,Married,Service,Spouse,Other,Male,15,US,0,0
37,19,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,25,US,0,0
